"","seals","noise","month","tide","date","time","j.date","site"
"1",0,44.6,10,2.27,2020-10-19,11,2459141.979,"marina"
"2",0,46.3,10,2.43,2020-10-14,16,2459137.188,"waterfront"
"3",0,46.5,10,2.34,2020-10-28,16,2459150.115,"waterfront"
"4",0,47.8,11,2.57,2020-11-23,11,2459176.958,"marina"
"5",0,48.5,9,2.15,2020-09-17,16,2459110.186,"waterfront"
"6",0,48.9,11,2.41,2020-11-06,11,2459162.91,"waterfront"
"7",0,51.6,6,2.12,2021-07-06,15,2459402.132,"waterfront"
"8",0,52.25,6,-0.21,2021-06-28,15,2459394.128,"waterfront"
"9",0,54.95,10,1.25,2020-10-30,11,2459152.972,"waterfront"
"10",0,55.25,11,1.91,2020-11-04,13,2459158.051,"waterfront"
"11",0,55.6,11,2.29,2020-11-30,11,2459183.958,"marina"
"12",0,56,10,2.25,2020-10-19,9,2459140.996,"waterfront"
"13",0,57.15,10,2.23,2020-10-16,15,2459139.145,"waterfront"
"14",0,58.65,11,2.06,2020-11-30,9,2459185.957,"waterfront"
"15",1,42.1,10,1.77,2020-10-07,16,2459127.92,"waterfront"
"16",1,45.95,11,2.47,2020-11-11,14,2459166.961,"waterfront"
"17",1,53.6,9,1.4,2020-09-26,12,2459117.122,"waterfront"
"18",1,53.95,10,1.06,2020-10-26,10,2459146.994,"waterfront"
"19",1,54.35,10,2.25,2020-10-10,12,2459131.972,"waterfront"
"20",1,56.45,6,0.06,2021-06-29,15,2459395.135,"waterfront"
"21",1,68.85,11,2.06,2020-11-24,15,2459183.009,"waterfront"
"22",2,44.05,6,1.99,2021-06-07,15,2459373.166,"waterfront"
"23",2,45.45,10,1.39,2020-10-18,11,2459140.996,"waterfront"
"24",2,46.45,8,2.21,2021-08-31,15,2459458.132,"waterfront"
"25",2,47.1,10,1.05,2020-10-17,12,2459140.003,"waterfront"
"26",2,48.85,8,0.94,2020-08-01,14,2459063.087,"waterfront"
"27",2,70.95,10,2.36,2020-10-27,14,2459148.927,"waterfront"
"28",3,41.6,8,0.27,2020-08-29,11,2459090.97,"waterfront"
"29",3,43.3,11,2.53,2020-11-07,12,2459164.128,"waterfront"
"30",3,43.6,11,2.06,2020-11-29,12,2459185.143,"waterfront"
"31",3,43.65,8,0.71,2021-08-24,15,2459451.128,"waterfront"
"32",3,46,10,1.91,2020-10-05,10,2459124.13,"waterfront"
"33",3,49,9,1.96,2020-09-10,16,2459103.198,"waterfront"
"34",3,50.3,8,1.68,2020-08-24,8,2459085.858,"waterfront"
"35",3,51.1,10,2.21,2020-10-09,11,2459130.181,"waterfront"
"36",3,51.15,9,0.15,2020-09-14,10,2459106.938,"waterfront"
"37",3,56.95,7,0.76,2021-07-16,15,2459412.128,"waterfront"
"38",3,57.4,10,2.4,2020-10-11,14,2459133.036,"waterfront"
"39",3,59.4,11,2.69,2020-11-21,12,2459175.017,"waterfront"
"40",4,46.8,11,1.94,2020-11-05,16,2459159.969,"waterfront"
"41",4,48.55,11,1.96,2020-11-03,15,2459157.125,"waterfront"
"42",4,51,10,2.06,2020-10-29,14,2459151.188,"waterfront"
"43",4,51.3,9,1.82,2020-09-29,14,2459120.938,"waterfront"
"44",4,52.65,9,2.22,2021-09-29,15,2459487.163,"waterfront"
"45",4,54.55,9,2.19,2020-09-18,17,2459111.208,"waterfront"
"46",4,55.5,11,2.03,2020-11-09,9,2459165.101,"waterfront"
