"","seals","noise","month","tide","date","time","j.date","site","year","id"
"1",0,44.6,10,2.27,2020-10-19,11,98,"marina",2020,13
"2",0,46.3,10,2.43,2020-10-14,16,101,"waterfront",2020,69
"3",0,46.5,10,2.34,2020-10-28,16,114,"waterfront",2020,79
"4",0,47.8,11,2.57,2020-11-23,11,133,"marina",2020,18
"5",0,48.5,9,2.15,2020-09-17,16,74,"waterfront",2020,55
"6",0,48.9,11,2.41,2020-11-06,11,126,"waterfront",2020,87
"7",0,51.6,6,2.12,2021-07-06,15,366,"waterfront",2021,110
"8",0,52.25,6,-0.21,2021-06-28,15,358,"waterfront",2021,108
"9",0,54.95,10,1.25,2020-10-30,11,116,"waterfront",2020,81
"10",0,55.25,11,1.91,2020-11-04,13,122,"waterfront",2020,85
"11",0,55.6,11,2.29,2020-11-30,11,140,"marina",2020,19
"12",0,56,10,2.25,2020-10-19,9,104,"waterfront",2020,74
"13",0,57.15,10,2.23,2020-10-16,15,103,"waterfront",2020,71
"14",0,58.65,11,2.06,2020-11-30,9,149,"waterfront",2020,106
"15",1,42.1,10,1.77,2020-10-07,16,91,"waterfront",2020,64
"16",1,45.95,11,2.47,2020-11-11,14,130,"waterfront",2020,91
"17",1,53.6,9,1.4,2020-09-26,12,81,"waterfront",2020,59
"18",1,53.95,10,1.06,2020-10-26,10,110,"waterfront",2020,77
"19",1,54.35,10,2.25,2020-10-10,12,95,"waterfront",2020,66
"20",1,56.45,6,0.06,2021-06-29,15,359,"waterfront",2021,109
"21",1,68.85,11,2.06,2020-11-24,15,147,"waterfront",2020,103
"22",2,44.05,6,1.99,2021-06-07,15,337,"waterfront",2021,107
"23",2,45.45,10,1.39,2020-10-18,11,104,"waterfront",2020,73
"24",2,46.45,8,2.21,2021-08-31,15,422,"waterfront",2021,122
"25",2,47.1,10,1.05,2020-10-17,12,104,"waterfront",2020,72
"26",2,48.85,8,0.94,2020-08-01,14,27,"waterfront",2020,23
"27",2,70.95,10,2.36,2020-10-27,14,112,"waterfront",2020,78
"28",3,41.6,8,0.27,2020-08-29,11,54,"waterfront",2020,46
"29",3,43.3,11,2.53,2020-11-07,12,128,"waterfront",2020,88
"30",3,43.6,11,2.06,2020-11-29,12,149,"waterfront",2020,105
"31",3,43.65,8,0.71,2021-08-24,15,415,"waterfront",2021,120
"32",3,46,10,1.91,2020-10-05,10,88,"waterfront",2020,63
"33",3,49,9,1.96,2020-09-10,16,67,"waterfront",2020,52
"34",3,50.3,8,1.68,2020-08-24,8,49,"waterfront",2020,41
"35",3,51.1,10,2.21,2020-10-09,11,94,"waterfront",2020,65
"36",3,51.15,9,0.15,2020-09-14,10,70,"waterfront",2020,54
"37",3,56.95,7,0.76,2021-07-16,15,376,"waterfront",2021,111
"38",3,57.4,10,2.4,2020-10-11,14,97,"waterfront",2020,67
"39",3,59.4,11,2.69,2020-11-21,12,139,"waterfront",2020,100
"40",4,46.8,11,1.94,2020-11-05,16,123,"waterfront",2020,86
"41",4,48.55,11,1.96,2020-11-03,15,121,"waterfront",2020,84
"42",4,51,10,2.06,2020-10-29,14,115,"waterfront",2020,80
"43",4,51.3,9,1.82,2020-09-29,14,84,"waterfront",2020,61
"44",4,52.65,9,2.22,2021-09-29,15,451,"waterfront",2021,126
"45",4,54.55,9,2.19,2020-09-18,17,75,"waterfront",2020,56
"46",4,55.5,11,2.03,2020-11-09,9,129,"waterfront",2020,89
"47",5,44.6,8,1.24,2020-08-12,10,37,"waterfront",2020,32
"48",5,50.4,10,2.31,2020-10-24,11,109,"waterfront",2020,76
"49",5,50.7,8,-0.1,2020-08-19,10,44,"waterfront",2020,37
"50",5,50.85,11,2.14,2020-11-14,13,130,"waterfront",2020,94
"51",5,51.15,11,2.05,2020-11-15,11,132,"waterfront",2020,95
"52",5,52.45,10,2.42,2020-10-23,11,105,"waterfront",2020,75
