seals,noise,month,tide,date,time,j.date
16,43.3,7,1.54,7/13/2020,11,2459043.972
38,38,7,-0.58,7/20/2020,11,2459050.972
48,33.2,7,1.24,7/27/2020,16,2459058.181
28,36.2,8,-0.06,8/3/2020,10,2459064.924
82,31.7,8,1.53,8/10/2020,15,2459072.149
81,37.7,8,-0.4,8/17/2020,10,2459078.934
26,33.1,8,2.11,8/24/2020,9,2459085.903
64,36.1,8,0.18,8/31/2020,9,2459092.892
70,34.8,9,0.71,9/13/2020,11,2459105.958
31,49.5,9,2.58,9/21/2020,9,2459113.91
55,40.2,9,0.57,9/28/2020,11,2459120.979
47,40,10,2.15,10/5/2020,11,2459127.958
0,44.6,10,2.27,10/19/2020,11,2459141.979
15,36.7,10,1.33,10/26/2020,11,2459148.972
20,38.7,11,2.03,11/2/2020,11,2459155.972
24,52.2,11,2.48,11/9/2020,10,2459162.951
11,44.2,11,2.2,11/16/2020,11,2459169.958
0,47.8,11,2.57,11/23/2020,11,2459176.958
0,55.6,11,2.29,11/30/2020,11,2459183.958
10,50.1,2,2.7,2/7/2021,13,2459253.042
18,45.6,2,1.6,2/15/2021,13,2459261.042
70,40.6,2,2.13,2/22/2021,13,2459268.042
0,43.1,3,1.09,3/1/2021,12,2459275.021
55,39.4,3,2.17,3/8/2021,13,2459282.063
15,45.2,3,1.69,3/30/2021,10,2459303.917
31,38.5,4,2.01,4/6/2021,13,2459311.042
60,37.5,4,1.21,4/14/2021,16,2459319.188
0,40.9,4,1.78,4/21/2021,12,2459326.021
0,37.3,4,-0.52,4/28/2021,12,2459333.021
25,36.2,5,1.8,5/4/2021,12,2459339
0,34.1,5,-0.04,5/12/2021,12,2459347.021
45,31.9,5,0.42,5/19/2021,16,2459354.188
35,34.4,5,1.95,5/26/2021,16,2459361.188
62,39.2,6,0.76,6/9/2021,14,2459375.104
15,35.4,6,0.1,6/14/2021,12,2459380.021
23,37.1,7,1.62,7/2/2021,12,2459398
20,39.7,7,0.09,7/6/2021,10,2459401.938
60,40.5,7,0.6,7/20/2021,11,2459415.986
55,34.2,7,1.16,7/27/2021,10,2459422.944
72,37.1,8,1.12,8/2/2021,11,2459428.965
30,35.9,8,0.63,8/10/2021,10,2459436.938
40,48,8,1.81,8/16/2021,11,2459442.986
83,32,8,-0.01,8/23/2021,11,2459449.979
