seals,noise,month,tide,date,time,j.date,site
16,43.3,7,1.54,7/13/2020,11,2459043.972,marina
38,38,7,-0.58,7/20/2020,11,2459050.972,marina
48,33.2,7,1.24,7/27/2020,16,2459058.181,marina
28,36.2,8,-0.06,8/3/2020,10,2459064.924,marina
82,31.7,8,1.53,8/10/2020,15,2459072.149,marina
81,37.7,8,-0.4,8/17/2020,10,2459078.934,marina
26,33.1,8,2.11,8/24/2020,9,2459085.903,marina
64,36.1,8,0.18,8/31/2020,9,2459092.892,marina
70,34.8,9,0.71,9/13/2020,11,2459105.958,marina
31,49.5,9,2.58,9/21/2020,9,2459113.91,marina
55,40.2,9,0.57,9/28/2020,11,2459120.979,marina
47,40,10,2.15,10/5/2020,11,2459127.958,marina
0,44.6,10,2.27,10/19/2020,11,2459141.979,marina
15,36.7,10,1.33,10/26/2020,11,2459148.972,marina
20,38.7,11,2.03,11/2/2020,11,2459155.972,marina
24,52.2,11,2.48,11/9/2020,10,2459162.951,marina
11,44.2,11,2.2,11/16/2020,11,2459169.958,marina
0,47.8,11,2.57,11/23/2020,11,2459176.958,marina
0,55.6,11,2.29,11/30/2020,11,2459183.958,marina
62,39.2,6,0.76,6/9/2021,14,2459375.104,marina
15,35.4,6,0.1,6/14/2021,12,2459380.021,marina
23,37.1,7,1.62,7/2/2021,12,2459398,marina
20,39.7,7,0.09,7/6/2021,10,2459401.938,marina
60,40.5,7,0.6,7/20/2021,11,2459415.986,marina
55,34.2,7,1.16,7/27/2021,10,2459422.944,marina
72,37.1,8,1.12,8/2/2021,11,2459428.965,marina
30,35.9,8,0.63,8/10/2021,10,2459436.938,marina
40,48,8,1.81,8/16/2021,11,2459442.986,marina
83,32,8,-0.01,8/23/2021,11,2459449.979,marina
