seals,noise,month,tide,date,time,j.date,site
20,44.1,7,1.01,7/6/2020,8,2459036.844,waterfront
16,56.85,7,-0.28,7/7/2020,14,2459038.083,waterfront
7,49.7,7,-0.21,7/8/2020,13,2459039.067,waterfront
5,57.9,7,0.44,7/9/2020,16,2459040.172,waterfront
8,51.5,7,0.7,7/10/2020,12,2459041.031,waterfront
6,65,7,0.78,7/11/2020,14,2459042.11,waterfront
14,45.45,7,1.12,7/13/2020,8,2459043.861,waterfront
9,42.95,7,1.09,7/14/2020,10,2459044.924,waterfront
17,62.9,7,0.72,7/15/2020,10,2459045.925,waterfront
17,59.3,7,2.21,7/16/2020,16,2459047.204,waterfront
10,56,7,0.68,7/17/2020,12,2459048.01,waterfront
17,45,7,2.43,7/18/2020,17,2459049.234,waterfront
16,56.4,7,0.14,7/20/2020,8,2459050.865,waterfront
12,49.3,7,-0.54,7/21/2020,11,2459051.979,waterfront
20,52.65,7,-0.41,7/22/2020,11,2459052.991,waterfront
8,51.5,7,1.03,7/23/2020,16,2459054.19,waterfront
17,50.35,7,0.69,7/24/2020,16,2459055.181,waterfront
8,52.4,7,0.4,7/25/2020,14,2459056.083,waterfront
16,48.35,7,1.2,7/27/2020,8,2459057.851,waterfront
18,48.8,7,1.73,7/28/2020,15,2459059.144,waterfront
29,47.1,7,2.32,7/30/2020,16,2459061.194,waterfront
16,53.95,7,-0.19,7/31/2020,10,2459061.924,waterfront
2,48.85,8,0.94,8/1/2020,14,2459063.087,waterfront
17,56.05,8,0.41,8/3/2020,8,2459064.851,waterfront
13,44.45,8,0.89,8/4/2020,15,2459066.137,waterfront
20,54.2,8,-0.14,8/5/2020,12,2459067.037,waterfront
10,51.1,8,1.24,8/6/2020,16,2459068.198,waterfront
6,46.55,8,0.58,8/7/2020,15,2459069.148,waterfront
23,49.85,8,1.01,8/8/2020,12,2459070,waterfront
8,49.2,8,1.53,8/10/2020,8,2459071.854,waterfront
14,50.35,8,1.75,8/11/2020,12,2459073,waterfront
5,44.6,8,1.24,8/12/2020,10,2459073.917,waterfront
14,49.6,8,2.26,8/14/2020,16,2459076.199,waterfront
12,53,8,0.6,8/15/2020,12,2459077.015,waterfront
12,54.55,8,-0.27,8/17/2020,9,2459078.882,waterfront
9,54.9,8,-0.41,8/18/2020,10,2459079.955,waterfront
5,50.7,8,-0.1,8/19/2020,10,2459080.919,waterfront
9,50.65,8,1.7,8/20/2020,16,2459082.197,waterfront
16,52.9,8,2.01,8/21/2020,18,2459083.26,waterfront
18,47.25,8,0.85,8/22/2020,11,2459083.998,waterfront
3,50.3,8,1.68,8/24/2020,8,2459085.858,waterfront
7,50.55,8,1.88,8/25/2020,11,2459086.969,waterfront
9,44.2,8,1.47,8/26/2020,10,2459087.934,waterfront
17,46,8,2.25,8/27/2020,16,2459089.197,waterfront
12,52.7,8,0.67,8/28/2020,10,2459089.949,waterfront
3,41.6,8,0.27,8/29/2020,11,2459090.97,waterfront
11,48.4,9,0.08,9/1/2020,12,2459094.002,waterfront
34,54.05,9,0.09,9/2/2020,11,2459094.967,waterfront
15,47.85,9,1.27,9/5/2020,10,2459097.953,waterfront
18,50.2,9,1.78,9/8/2020,12,2459101.018,waterfront
12,54.8,9,1.96,9/9/2020,11,2459101.96,waterfront
3,49,9,1.96,9/10/2020,16,2459103.198,waterfront
8,54.1,9,2.02,9/11/2020,17,2459104.235,waterfront
3,51.15,9,0.15,9/14/2020,10,2459106.938,waterfront
0,48.5,9,2.15,9/17/2020,16,2459110.186,waterfront
4,54.55,9,2.19,9/18/2020,17,2459111.208,waterfront
5,53.1,9,1.18,9/19/2020,10,2459111.951,waterfront
6,56.2,9,2.29,9/24/2020,14,2459113.861,waterfront
1,53.6,9,1.4,9/26/2020,12,2459117.122,waterfront
