seals,noise,month,tide,date,time,location,j.date,site
3,43.5,7,1.01,7/6/2020,8,1,2459036.844,waterfront
9,55.5,7,-0.28,7/7/2020,14,1,2459038.083,waterfront
3,46.1,7,-0.21,7/8/2020,13,1,2459039.067,waterfront
0,54.5,7,0.44,7/9/2020,16,1,2459040.172,waterfront
0,57,7,0.7,7/10/2020,12,1,2459041.031,waterfront
0,60.6,7,0.78,7/11/2020,14,1,2459042.11,waterfront
0,46.8,7,1.12,7/13/2020,8,1,2459043.861,waterfront
0,39.7,7,1.09,7/14/2020,10,1,2459044.924,waterfront
0,63.8,7,0.72,7/15/2020,10,1,2459045.925,waterfront
0,73.4,7,2.21,7/16/2020,16,1,2459047.204,waterfront
0,56,7,0.68,7/17/2020,12,1,2459048.01,waterfront
14,44.1,7,2.43,7/18/2020,17,1,2459049.234,waterfront
6,59.3,7,0.14,7/20/2020,8,1,2459050.865,waterfront
2,50.5,7,-0.54,7/21/2020,11,1,2459051.979,waterfront
2,52.5,7,-0.41,7/22/2020,11,1,2459052.991,waterfront
2,53.7,7,1.03,7/23/2020,16,1,2459054.19,waterfront
13,49.9,7,0.69,7/24/2020,16,1,2459055.181,waterfront
1,56.5,7,0.4,7/25/2020,14,1,2459056.083,waterfront
2,47.9,7,1.2,7/27/2020,8,1,2459057.851,waterfront
3,49.4,7,1.73,7/28/2020,15,1,2459059.144,waterfront
10,47.7,7,2.32,7/30/2020,16,1,2459061.194,waterfront
0,52.8,7,-0.19,7/31/2020,10,1,2459061.924,waterfront
0,52.1,8,0.94,8/1/2020,14,1,2459063.087,waterfront
3,56,8,0.41,8/3/2020,8,1,2459064.851,waterfront
1,43.3,8,0.89,8/4/2020,15,1,2459066.137,waterfront
7,53.4,8,-0.14,8/5/2020,12,1,2459067.037,waterfront
4,53.1,8,1.24,8/6/2020,16,1,2459068.198,waterfront
0,47.8,8,0.58,8/7/2020,15,1,2459069.148,waterfront
18,41.6,8,1.01,8/8/2020,12,1,2459070,waterfront
